electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
LAHc,1.49,1.25,0.92,0.91,1.72,0.47
LPHc,0.6,0.5,0.74,0.74,0.67,0.48
LTe,1.83,0.97,1.28,1.27,2.14,0.63
LTPaOc,1.45,0.19,1.09,1.02,0.2,0.9
LPaOc,1.29,1.29,1.57,1.12,1.44,0.78
LTeOc,1.87,1.59,1.14,1.12,1.88,0.8
LOFr,1.75,1.49,1.0,0.73,1.86,1.24
LAIn,1.22,0.52,0.62,0.37,0.37,0.6
LPIn,2.13,2.11,1.26,1.09,1.24,0.74
RPHc,3.24,1.34,1.52,1.14,1.99,0.35
RAHc,2.23,0.85,1.65,1.09,1.19,0.32
LAm,1.56,1.55,1.39,1.1,1.81,0.65
