electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
RICa,2.35,1.55,0.72,0.71,1.92,1.23
RPrC,0.54,0.13,2.56,1.12,0.14,1.2
LICa,2.42,1.78,1.98,1.58,2.16,1.01
LAHc,3.46,2.87,1.53,1.42,3.51,1.8
RAHc,1.94,1.75,1.41,1.17,2.06,0.7
RAm,1.04,0.88,0.93,0.93,1.07,0.13
RPHc,1.89,1.04,0.76,0.74,1.36,0.98
RSCa,1.42,1.38,0.89,0.89,1.76,0.68
RSMPCg,1.53,1.24,0.78,0.62,1.13,1.0
RAn,0.98,0.16,0.42,0.21,0.15,0.28
RPIn,0.72,0.59,1.81,0.99,0.36,0.43
LSCa,0.99,0.97,1.36,1.19,1.01,0.25
