electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
LAHc,0.92,0.61,3.26,3.01,0.7,3.59
LAm,11.04,1.77,1.67,0.32,1.93,1.65
LCgGy,1.54,1.49,1.2,0.76,1.45,0.74
LHcGy,2.59,0.56,0.72,0.49,0.64,0.1
LMiHc,1.6,1.26,8.05,8.04,1.63,10.82
LPHc,2.23,0.62,1.39,0.2,0.69,0.66
LTePo,2.82,2.32,2.91,2.36,2.53,2.99
RAHc,1.77,1.61,4.1,4.06,1.76,2.6
RAm,2.66,2.55,4.53,4.5,2.99,2.72
RCgGy,1.62,1.53,3.47,3.41,1.55,3.34
RHcGy,4.04,3.56,7.11,6.58,4.13,4.65
RMiHc,3.1,3.09,4.06,3.46,3.26,1.41
RPHc,1.47,0.89,4.06,3.89,1.05,3.34
RTePo,3.1,3.09,1.59,1.5,5.74,8.52
