electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
LAm,2.31,2.08,3.23,2.4,2.35,1.56
LAHc,2.41,2.41,2.79,2.45,3.05,4.53
LPHc,1.57,1.27,2.97,2.43,1.72,2.79
LPOFr,2.08,1.97,2.94,1.99,2.21,1.39
LAMesFr,1.42,1.41,1.29,0.93,2.15,1.9
LTePo,3.21,3.13,5.8,2.84,5.36,2.25
LAIn,2.79,2.64,7.1,5.21,2.15,4.79
LPIn,2.96,0.89,2.35,2.05,0.57,1.59
RAIn,1.52,1.52,3.21,3.11,1.22,3.58
LPTe,0.8,0.09,2.44,2.3,0.15,2.68
LAOFr,1.77,1.76,2.41,0.94,1.57,0.74
LASSMA,0.58,0.5,1.35,0.61,0.62,1.37
LPSSMA,1.99,1.08,3.8,3.77,1.49,5.17
LMidIn,2.73,1.85,4.83,3.88,1.36,2.61
