electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
LAm,2.07,2.07,1.37,1.15,2.51,1.56
LAHc,2.28,2.27,1.11,0.89,3.19,2.12
LPHc,1.9,1.86,1.02,0.78,2.52,1.53
LAnGy,1.78,0.96,0.94,0.69,1.05,0.83
LPCg,1.09,1.08,0.58,0.5,1.12,0.89
LMiCg,2.09,2.04,1.46,1.39,2.13,0.72
LACg,2.49,2.26,1.92,1.73,3.11,0.72
LOFr,2.45,2.42,1.2,1.2,2.87,1.94
RAHc,1.93,1.84,0.99,0.91,2.09,1.27
RPHc,1.17,1.16,0.88,0.79,1.43,0.51
LAIn,2.79,2.79,0.88,0.87,2.02,1.4
LPIn,3.75,3.74,2.96,1.77,2.22,1.2
